ID,Study,References,New relevant refs,1,2,3,4,5
1,Benchmarking Modern Distributed Streaming Platforms,20,1,Stream Bench: Towards Benchmarking Modern Distributed Stream Computing Frameworks,,,,
2,DSPBench: A Suite of Benchmark Applications for Distributed Data Stream Processing Systems,84,0,,,,,
3,Evaluation of Stream Processing Frameworks,22,0,,,,,
4,Theodolite: Scalability Benchmarking of Distributed Stream Processing Engines in Microservice Architectures,70,1,"Evaluation of distributed stream processing frameworks for iot applications in smart cities,",,,,
5,Benchmarking distributed stream data processing systems,26,0,,,,,
6,RIoTBench: An IoT benchmark for distributed stream processing systems,58,0,,,,,
7,Big Stream Processing Systems: An Experimental Evaluation,17,0,,,,,
8,Quantitative Impact Evaluation of an Abstraction Layer for Data Stream Processing Systems,68,0,,,,,
9,Analyzing Efficient Stream Processing on Modern Hardware,95,0,,,,,
10,Performance evaluation of real-time stream processing systems for Internet of Things applications,35,0,,,,,
11,"Benchmarking Streaming Computation Engines: Storm, Flink and Spark Streaming",16,0,,,,,
12,A Performance Analysis of Fault Recovery in Stream Processing Frameworks,79,0,,,,,
,,,,,,,,
,Done on 01.12.2022,,,,,,,
