Bib Key,Title,Abstract,Not in English,Not a scientific paper,Not peer-reviewed,No scalable stream processing,No real-world scenario performance benchmarking and insights,Optimizations,R1,R2,Final decision,Comments,Authors,Year,Publisher,Doi,Source
Mullen20152553,Real-time neuroimaging and cognitive monitoring using wearable dry EEG,"Goal: We present and evaluate a wearable high-density dry-electrode EEG system and an open-source software framework for online neuroimaging and state classification. Methods: The system integrates a 64-channel dry EEG form factor with wireless data streaming for online analysis. A real-time software framework is applied, including adaptive artifact rejection, cortical source localization, multivariate effective connectivity inference, data visualization, and cognitive state classification from connectivity features using a constrained logistic regression approach (ProxConn). We evaluate the system identification methods on simulated 64-channel EEG data. Then, we evaluate system performance, using ProxConn and a benchmark ERP method, in classifying response errors in nine subjects using the dry EEG system. Results: Simulations yielded high accuracy (AUC = 0.97 ± 0.021) for real-time cortical connectivity estimation. Response error classification using cortical effective connectivity [short-time direct-directed transfer function (sdDTF)] was significantly above chance with similar performance (AUC) for cLORETA (0.74 ± 0.09) and LCMV (0.72 ± 0.08) source localization. Cortical ERP-based classification was equivalent to ProxConn for cLORETA (0.74 ± 0.16) but significantly better for LCMV (0.82 ± 0.12). Conclusion: We demonstrated the feasibility for real-time cortical connectivity analysis and cognitive state classification from high-density wearable dry EEG. Significance: This paper is the first validated application of these methods to 64-channel dry EEG. This study addresses a need for robust real-time measurement and interpretation of complex brain activity in the dynamic environment of the wearable setting. Such advances can have broad impact in research, medicine, and brain-computer interfaces. The pipelines are made freely available in the open-source SIFT and BCILAB toolboxes. © 1964-2012 IEEE.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,EXCLUDED,EXCLUDED,,,"Mullen, T.R. and Kothe, C.A.E. and Chi, Y.M. and Ojeda, A. and Kerth, T. and Makeig, S. and Jung, T.-P. and Cauwenberghs, G.",2015,IEEE Transactions on Biomedical Engineering,10.1109/TBME.2015.2481482,scopus-search1.bib;web-of-science-search1.bib;ieee2-search1.bib
Le-Phuoc2011370,A native and adaptive approach for unified processing of linked streams and linked data,"In this paper we address the problem of scalable, native and adaptive query processing over Linked Stream Data integrated with Linked Data. Linked Stream Data consists of data generated by stream sources, e.g., sensors, enriched with semantic descriptions, following the standards proposed for Linked Data. This enables the integration of stream data with Linked Data collections and facilitates a wide range of novel applications. Currently available systems use a ""black box"" approach which delegates the processing to other engines such as stream/event processing engines and SPARQL query processors by translating to their provided languages. As the experimental results described in this paper show, the need for query translation and data transformation, as well as the lack of full control over the query execution, pose major drawbacks in terms of efficiency. To remedy these drawbacks, we present CQELS (Continuous Query Evaluation over Linked Streams), a native and adaptive query processor for unified query processing over Linked Stream Data and Linked Data. In contrast to the existing systems, CQELS uses a ""white box"" approach and implements the required query operators natively to avoid the overhead and limitations of closed system regimes. CQELS provides a flexible query execution framework with the query processor dynamically adapting to the changes in the input data. During query execution, it continuously reorders operators according to some heuristics to achieve improved query execution in terms of delay and complexity. Moreover, external disk access on large Linked Data collections is reduced with the use of data encoding and caching of intermediate query results. To demonstrate the efficiency of our approach, we present extensive experimental performance evaluations in terms of query execution time, under varied query types, dataset sizes, and number of parallel queries. These results show that CQELS outperforms related approaches by orders of magnitude. © 2011 Springer-Verlag.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,EXCLUDED,EXCLUDED,,,"Le-Phuoc, D. and Dao-Tran, M. and XavierParreira, J. and Hauswirth, M.",2011,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10.1007/978-3-642-25073-6_24,scopus-search1.bib
Fernandez2013725,Integrating scale out and fault tolerance in stream processing using operator state management,"As users of ""big data"" applications expect fresh results, we witness a new breed of stream processing systems (SPS) that are designed to scale to large numbers of cloud-hosted machines. Such systems face new challenges: (i) to benefit from the ""pay-as-you-go"" model of cloud computing, they must scale out on demand, acquiring additional virtual machines (VMs) and parallelising operators when the workload increases; (ii) failures are common with deployments on hundreds of VMs - systems must be fault-tolerant with fast recovery times, yet low per-machine overheads. An open question is how to achieve these two goals when stream queries include stateful operators, which must be scaled out and recovered without affecting query results. Our key idea is to expose internal operator state explicitly to the SPS through a set of state management primitives. Based on them, we describe an integrated approach for dynamic scale out and recovery of stateful operators. Externalised operator state is checkpointed periodically by the SPS and backed up to upstream VMs. The SPS identifies individual operator bottlenecks and automatically scales them out by allocating new VMs and partitioning the check-pointed state. At any point, failed operators are recovered by restoring checkpointed state on a new VM and replaying unprocessed tuples. We evaluate this approach with the Linear Road Benchmark on the Amazon EC2 cloud platform and show that it can scale automatically to a load factor of L=350 with 50 VMs, while recovering quickly from failures. Copyright © 2013 ACM.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,EXCLUDED,EXCLUDED,,,"Fernandez, R.C. and Migliavacca, M. and Kalyvianaki, E. and Pietzuch, P.",2013,Proceedings of the ACM SIGMOD International Conference on Management of Data,10.1145/2463676.2465282,scopus-search1.bib;acm2-search1.bib
Baccarelli20179882,"Fog of Everything: Energy-Efficient Networked Computing Architectures, Research Challenges, and a Case Study","Fog computing (FC) and Internet of Everything (IoE) are two emerging technological paradigms that, to date, have been considered standing-alone. However, because of their complementary features, we expect that their integration can foster a number of computing and network-intensive pervasive applications under the incoming realm of the future Internet. Motivated by this consideration, the goal of this position paper is fivefold. First, we review the technological attributes and platforms proposed in the current literature for the standing-alone FC and IoE paradigms. Second, by leveraging some use cases as illustrative examples, we point out that the integration of the FC and IoE paradigms may give rise to opportunities for new applications in the realms of the IoE, Smart City, Industry 4.0, and Big Data Streaming, while introducing new open issues. Third, we propose a novel technological paradigm, the Fog of Everything (FoE) paradigm, that integrates FC and IoE and then we detail the main building blocks and services of the corresponding technological platform and protocol stack. Fourth, as a proof-of-concept, we present the simulated energy-delay performance of a small-scale FoE prototype, namely, the V-FoE prototype. Afterward, we compare the obtained performance with the corresponding one of a benchmark technological platform, e.g., the V-D2D one. It exploits only device-to-device links to establish inter-thing 'ad hoc' communication. Last, we point out the position of the proposed FoE paradigm over a spectrum of seemingly related recent research projects. © 2017 IEEE.",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,EXCLUDED,EXCLUDED,,,"Baccarelli, E. and Naranjo, P.G.V. and Scarpiniti, M. and Shojafar, M. and Abawajy, J.H.",2017,IEEE Access,10.1109/ACCESS.2017.2702013,scopus-search1.bib;web-of-science-search1.bib;ieee2-search1.bib
Chintapalli20161789,"Benchmarking streaming computation engines: Storm, flink and spark streaming","Streaming data processing has been gaining attention due to its application into a wide range of scenarios. To serve the booming demands of streaming data processing, many computation engines have been developed. However, there is still a lack of real-world benchmarks that would be helpful when choosing the most appropriate platform for serving real-time streaming needs. In order to address this problem, we developed a streaming benchmark for three representative computation engines: Flink, Storm and Spark Streaming. Instead of testing speed-of-light event processing, we construct a full data pipeline using Kafka and Redis in order to more closely mimic the real-world production scenarios. Based on our experiments, we provide a performance comparison of the three data engines in terms of 99th percentile latency and throughput for various configurations. © 2016 IEEE.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,INCLUDED,INCLUDED,,,"Chintapalli, S. and Dagit, D. and Evans, B. and Farivar, R. and Graves, T. and Holderbaugh, M. and Liu, Z. and Nusbaum, K. and Patil, K. and Peng, B.J. and Poulosky, P.",2016,"Proceedings - 2016 IEEE 30th International Parallel and Distributed Processing Symposium, IPDPS 2016",10.1109/IPDPSW.2016.138,scopus-search1.bib;web-of-science-search1.bib;ieee3-search1.bib
Jain2006431,"Design, implementation, and evaluation of the linear road bnchmark on the stream processing core","Stream processing applications have recently gained significant attention in the networking and database community. At the core of these applications is a stream processing engine that performs resource allocation and management to support continuous tracking of queries over collections of physically- distributed and rapidly-updating data streams. While numerous stream processing systems exist, there has been little work on understanding the performance characteristics of these applications in a distributed setup. In this paper, we examine the performance bottlenecks of streaming data applications, in particular the Linear Road stream data management benchmark, in achieving good performance in large-scale distributed environments, using the Stream Processing Core (SPC), a stream processing middleware we have developed. First, we present the design and implementation of the Linear Road benchmark on the SPC middleware. SPC has been designed to scale to tens of thousands of processing nodes, while supporting concurrent applications and multiple simultaneous queries. Second, we identify the main performance bottlenecks in the Linear Road application in achieving scalability and low query response latency. Our results show that data locality, buffer capacity, physical allocation of processing elements to infrastructure nodes, and packaging for transporting streamed data are important factors in achieving good application performance. Though we evaluate our system primarily for the Linear Road application, we believe it also provides useful insights into the overall system behavior for supporting other distributed and large-scale continuous streaming data applications. Finally, we examine how SPC can be used and tuned to enable a very efficient implementation of the Linear Road application in a distributed environment. Copyright 2006 ACM.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,INCLUDED,INCLUDED,,,"Jain, N. and Amini, L. and Andrade, H. and King, R. and Park, Y. and Selo, P. and Venkatramani, C.",2006,Proceedings of the ACM SIGMOD International Conference on Management of Data,10.1145/1142473.1142522,scopus-search1.bib;acm1-search1.bib
Peng2015149,R-storm: Resource-aware scheduling in storm,"The era of big data has led to the emergence of new systems for real-time distributed stream processing, e.g., Apache Storm is one of the most popular stream processing systems in in- dustry today. However, Storm, like many other stream pro- cessing systems lacks an intelligent scheduling mechanism. The default round-robin scheduling currently deployed in Storm disregards resource demands and availability, and can therefore be inefficient at times. We present R-Storm (Resource-Aware Storm), a system that implements resource- aware scheduling within Storm. R-Storm is designed to in- crease overall throughput by maximizing resource utilization while minimizing network latency. When scheduling tasks, R-Storm can satisfy both soft and hard resource constraints as well as minimizing network distance between components that communicate with each other. We evaluate R-Storm on set of micro-benchmark Storm applications as well as Storm applications used in production at Yahoo! Inc. From our experimental results we conclude that R-Storm achieves 30-47% higher throughput and 69-350% better CPU utiliza- tion than default Storm for the micro-benchmarks. For the Yahoo! Storm applications, R-Storm outperforms default Storm by around 50% based on overall throughput. We also demonstrate that R-Storm performs much better when scheduling multiple Storm applications than default Storm. © 2015 ACM.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,EXCLUDED,EXCLUDED,,,"Peng, B. and Hosseini, M. and Hong, Z. and Farivar, R. and Campbell, R.",2015,Middleware 2015 - Proceedings of the 16th Annual Middleware Conference,10.1145/2814576.2814808,scopus-search1.bib;web-of-science-search1.bib;acm1-search1.bib
Eager2001742,Minimizing bandwidth requirements for on-demand data delivery,"Two recent techniques for multicast or broadcast delivery of streaming media can provide immediate service to each client request, yet achieve considerable client stream sharing which leads to significant server and network bandwidth savings. This paper considers 1) how well these recently proposed techniques perform relative to each other and 2) whether there are new practical delivery techniques that can achieve better bandwidth savings than the previous techniques over a wide range of client request rates. The principal results are as follows: First, the recent partitioned dynamic skyscraper technique is adapted to provide immediate service to each client request more simply and directly than the original dynamic skyscraper method. Second, at moderate to high client request rates, the dynamic skyscraper method has required server bandwidth that is significantly lower than the recent optimized stream tapping/patching/controlled multicast technique. Third, the minimum required server bandwidth for any delivery technique that provides immediate real-time delivery to clients increases logarithmically (with constant factor equal to one) as a function of the client request arrival rate. Furthermore, it is (theoretically) possible to achieve very close to the minimum required server bandwidth if client receive bandwidth is equal to two times the data streaming rate and client storage capacity is sufficient for buffering data from shared streams. Finally, we propose a new practical delivery technique, called hierarchical multicast stream merging (HMSM), which has a required server bandwidth that is lower than the partitioned dynamic skyscraper and is reasonably close to the minimum achievable required server bandwidth over a wide range of client request rates.",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,EXCLUDED,EXCLUDED,,,"Eager, D. and Vernon, M. and Zahorjan, J.",2001,IEEE Transactions on Knowledge and Data Engineering,10.1109/69.956098,scopus-search1.bib;web-of-science-search1.bib
Satyanarayan2016659,Reactive Vega: A Streaming Dataflow Architecture for Declarative Interactive Visualization,"We present Reactive Vega, a system architecture that provides the first robust and comprehensive treatment of declarative visual and interaction design for data visualization. Starting from a single declarative specification, Reactive Vega constructs a dataflow graph in which input data, scene graph elements, and interaction events are all treated as first-class streaming data sources. To support expressive interactive visualizations that may involve time-varying scalar, relational, or hierarchical data, Reactive Vega's dataflow graph can dynamically re-write itself at runtime by extending or pruning branches in a data-driven fashion. We discuss both compile- and run-time optimizations applied within Reactive Vega, and share the results of benchmark studies that indicate superior interactive performance to both D3 and the original, non-reactive Vega system. © 1995-2012 IEEE.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,EXCLUDED,EXCLUDED,,,"Satyanarayan, A. and Russell, R. and Hoffswell, J. and Heer, J.",2016,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2015.2467091,scopus-search1.bib;web-of-science-search1.bib;ieee3-search1.bib
Amini200627,"SPC: A distributed, scalable platform for data mining","The Stream Processing Core (SPC) is distributed stream processing middleware designed to support applications that extract information from a large number of digital data streams. In this paper, we describe the SPC programming model which, to the best of our knowledge, is the first to support stream-mining applications using a subscription-like model for specifying stream connections as well as to provide support for non-relational operators. This enables stream-mining applications to tap into, analyze and track an ever-changing array of data streams which may contain information relevant to the streaming-queries placed on it. We describe the design, implementation, and experimental evaluation of the SPC distributed middleware, which deploys applications on to the running system in an incremental fashion, making stream connections as required. Using micro-benchmarks and a representative large-scale synthetic stream-mining application, we evaluate the performance of the control and data paths of the SPC middleware. Copyright 2006 ACM.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,EXCLUDED,EXCLUDED,,,"Amini, L. and Andrade, H. and Bhagwan, R. and Eskesen, F. and King, R. and Selo, P. and Park, Y. and Venkatramani, C.",2006,"4th International Workshop on Data Mining Standards, Services and Platforms",10.1145/1289612.1289615,scopus-search1.bib;acm2-search1.bib
